序号,招聘主题,雇主类型
1023,运营类管培生/职能类管培生/研发类管培生,互联网科技企业
1024,百威中国2022 销售管培生,其他类型企业
1025,科研技术类/职能管理类/市场类,互联网科技企业
1026,储备干部,其他类型企业
1028,JAVA开发/C++开发/前端开发/测试-偏基础测试/技术支持/产品经理,互联网科技企业
1029,游戏U3D开发工程师 /游戏服务器开发工程师 /游戏数值策划/游戏系统策划/3D模型/游戏UI设计师/3D动作 /3D特效/海外运营管培生等,互联网科技企业
1030,移动开发工程师/算法工程师/嵌入式开发工程师/平台开发工程师/测试工程师/大客户销售经理/质量工程师/产品专员等,互联网科技企业
1031,研发技术类/智能制造类/营销服务类/运营管理类/互联网 IT类等,其他类型企业
1032,软件研发/硬件研发等,互联网科技企业
1033,研发工程师 /检测工程师 /技术员/检测员 /工程储干/生产储干/销售工程师 /品质工程师/采购工程师/财务储干/人力资源储等,工业科技企业
1034,软件开发/数据分析/项目管理/系统维护/信息安全等,金融企业
1035,车辆工程/汽车电子/电子信息工程/机械工程/机械设计制造及自动化/智能制造等,生活类企业
1036,管理培训生/医学应用岗/科技创新岗/业务管理岗/专业职能岗等,金融企业
1038,投行业务类/投资研究类/财富管理类/金融科技类/财富管理类/投融资类/中后台职能类,金融企业
1039,游戏客户端程序/U3D游戏地编/游戏3D角色设计师/U3D游戏特效师/游戏3D动作设计师/游戏编剧,互联网科技企业
1040,金融经济类/财务会计类/市场营销类/IT类/管理类/理工科类,金融企业
1041,零售管理培训生,其他类型企业
1042,前端开发工程师/后端开发工程师/数据分析工程师/系统运营工程师/安全治理工程师/运维工程师/自动化运维工程师/专业研究岗/产品岗/商务拓展岗/市场营销岗/商务运营岗/财务岗/法务岗,其他类型企业
1043,IT类/数字统计类/产业相关专业类/经济金融类/财务会计类/法律类,金融企业
1044,软件/计算机视觉/光学工程师,互联网科技企业
1045,客户经理岗/综合柜员岗,金融企业
1046,C++储备开发工程师,互联网科技企业
1047,硬件开发工程师/嵌入式开发工程师/web前端工程师/安卓开发工程师/C应用开发工程师/Java开发工程师/工程技术工程师/海外销售工程师/海外交付工程师,互联网科技企业
1048,采编播岗位/ 营销运营类 /电视剧业务 /技术岗位,其他类型企业
1049,环境咨询助理顾问/助理科创工程师/市场咨询助理顾问/工程项目助理,工业科技企业
1051,业务经营/产业研究/核算管理/运营管理/java开发,工业科技企业
1052,管培生（项目开发方向/商务方向/工程类/造价方向/资产管理方向/电气设计方向/总图设计类/结构设计类/电力系统/财务金融方向/国际业务）,工业科技企业
1053,产品经理/产品运营/商务拓展/ 开发工程师/测试工程师,互联网科技企业
1054,管培生/非讲师岗位,互联网科技企业
1055,研发类/职能类/制造类/品质类,工业科技企业
1057,综合办公室综合文秘/运营管理部运营专员/法律事务部法律专员/人力资源部人力专员/党群工作部党务专员/新产业事业部运营专员等,金融企业
1058,中国铁塔2022年度校园招聘岗位,其他类型企业
1059,客户经理（销售）/技术人员/销售助理/商务,工业科技企业
1060,算法研究类/芯片设计类/系统平台类/产品文档类,互联网科技企业
1061,算法工程师/视觉工程师/深度学习工程师,互联网科技企业
1062,技术销售工程师轮岗项目TSE/现场技术应用工程师轮岗项目 （模拟方向）FAE(Analog),工业科技企业
1064,电工类 /电子信息类,工业科技企业
1065,应用验证和支持工程师/硬件研发助理工程师/软件研发助理工程师,工业科技企业
1066,售前咨询顾问/安全分析师/技术支持/安全研究员,互联网科技企业
1067,柜员/信息科技岗/管理培训生,金融企业
1068,总行公司金融岗/总行零售业务岗/ 总行金融市场岗/总行资产管理岗/总行运营渠道管理岗/总行财务会计岗/总行金融科技岗等,金融企业
1070,A计划管培生,其他类型企业
1071,技术助理（管培生/实习生）,互联网科技企业
1072,工程审计岗/ 企业管理岗（交通运输方向）/ 合约岗/ 解决方案/ 投资分析/ 养护工程师/ 助理工程师/ 人力资源助理/ 开发岗/ 行政人事岗等,其他类型企业
1073,商务管培生,其他类型企业
1074,营销管理类/讲师类/科技类,金融企业
1076,软件工程师（C++开发方向）/软件工程师（Java开发方向）/软件工程师（Web前端开发方向）,互联网科技企业
1077,软件开发类/软件测试类/硬件类/ IC设计类/算法研究类/客户支持类,互联网科技企业
1078,软件工程师/人事助理/法务专员/投资专员/电磁工程师/电气工程师/系统工程师/电机控制软件工程师/系统控制软件工程师/测试工程师/硬件工程师/设计师/研发管理工程师/质量工程师/机械工程师/设备工程师/焊接工程师/电气工程师/空调工程师/商务助理/项目助理/刀具工程师/机加工艺师,其他类型企业
1079,人力资源岗/综合事务岗/公共事务岗/行政管理岗/培训管理岗/经营管理岗/项目助理岗/数据分析岗/软件研发工程师,生活类企业
1080,管理培训生 /金融科技岗,金融企业
1081,封装工艺工程师 /芯片测试工程师/物料计划/生产计划工程师/质量工程师/设备工程师/IE工程师,互联网科技企业
0,测试工程师,其他类型企业
1,业务实施顾问,其他类型企业
2,人力资源管理,其他类型企业
3,IT工程师,其他类型企业
5,产品研发工程师,工业科技企业
6,工艺质量管理,其他类型企业
7,校园招聘HR,金融企业
8,产品研发,其他类型企业
10,车间主任助理,互联网科技企业
11,IC设计工程师,互联网科技企业
12,微波元件工程师,互联网科技企业
14,技术支持工程师,工业科技企业
15,工艺工程师,工业科技企业
16,IC测试工程师,工业科技企业
17,数字IC设计工程师,工业科技企业
20,销售员,互联网科技企业
21,产品检测工程师,工业科技企业
22,陈华,互联网科技企业
23,产品应用工程师,工业科技企业
24,人力资源管理专员,互联网科技企业
27,电子开关研发工程师,互联网科技企业
28,产品研发设计工程师,工业科技企业
29,电子组件研发工程师,互联网科技企业
31,材料研发工程师,互联网科技企业
34,产品设计师,工业科技企业
35,项目研发员,工业科技企业
36,电子工程技术员,工业科技企业
38,微波电路设计师,互联网科技企业
40,产品技术员,互联网科技企业
41,2022校招-软件研发岗,互联网科技企业
42,2022校招-技术开发岗,互联网科技企业
43,2022校招-职能市场类,互联网科技企业
44,设备管理,其他类型企业
48,航天行云（航天科工四院卫星总体单位）2022年度校园招聘,工业科技企业
49,核电工程师,其他类型企业
52,上位机软件工程师,互联网科技企业
53,销售工程师,互联网科技企业
54,产品工程师,互联网科技企业
55,整机工艺工程师,互联网科技企业
56, 算法工程师(杭州、武汉),互联网科技企业
57,软件开发工程师（杭州、武汉）,互联网科技企业
58,软件测试工程师(杭州、武汉),互联网科技企业
59,产品应用工程师(杭州、武汉）,互联网科技企业
61,机械开发工程师,其他类型企业
62,控制软件工程师,其他类型企业
63,硬件工程师,其他类型企业
64,应用软件工程师,其他类型企业
65,电机结构工程师,其他类型企业
67,国内营销类,其他类型企业
68,海外营销专员,其他类型企业
69,售后服务/客户服务,其他类型企业
70,生产管理储备,其他类型企业
71,财务会计,其他类型企业
72,人力资源专员,其他类型企业
73,信息化管理岗,工业科技企业
74,事业单位工作人员,社会企业
77,项目岗,互联网科技企业
78,质量岗,互联网科技企业
79,机械专利工程师,人文知识企业
80,宇通校园猎头,其他类型企业
81,电学/通信领域专利工程师,人文知识企业
83,嵌入式软件工程师,互联网科技企业
84,高级专利工程师,人文知识企业
87,渠道销售总监,金融企业
88,技术岗/职能岗,研究机构
89,生产研发工程师,工业科技企业
91,模具设计工程师,工业科技企业
92,电气自动化工程师,工业科技企业
93,量化系统开发工程师,金融企业
94,渠道销售经理,金融企业
98,项目工程师,工业科技企业
99,生产管理,工业科技企业
101,自动化工程师,互联网科技企业
102,电仪工程师,互联网科技企业
103,化工工程师,互联网科技企业
104,节能项目经理,互联网科技企业
105,短视频编导,互联网科技企业
107,美资企业-猎头实习生（招聘方向）,社会企业
108,光学工程师,互联网科技企业
110,电气工程师,工业科技企业
111,香港科技大学数据建模硕士学位项目（MSc DDM）1月宣讲会（线上+线下）通知,人文知识企业
113,生产专训生,生活类企业
114,毫米波雷达算法工程师(上海/常州）,互联网科技企业
115,雷达信号处理工程师（上海/常州）,互联网科技企业
117,多益网络2022届校园招聘补录,互联网科技企业
118,美丽中国支教项目老师（研后空宣）,金融企业
120,研究员,专业技术服务企业
121,电气师,工业科技企业
122,机械及车辆工程专利代理人及助理,人文知识企业
123,材料化工类专利代理人及助理,人文知识企业
124,商标代理人助理,人文知识企业
